Category,Message
ham,"Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester"
ham,Wa... U so efficient... Gee... Thanx...
spam,3. You have received your mobile content. Enjoy
ham,S but not able to sleep.
spam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min
ham,We will meet soon princess! Ttyl!
ham,I'll pick you up at about 5.15pm to go to taunton if you still want to come.
ham,Oh :-)only 4 outside players allowed to play know
ham,I anything lor.
ham,Erutupalam thandiyachu
ham,"Y cant u try new invention to fly..i'm not joking.,"
ham,No..its ful of song lyrics..
ham,"What do u reckon as need 2 arrange transport if u can't do it, thanks"
ham,True lov n care wil nevr go unrecognized. though somone often makes mistakes when valuing it. but they will definitly undrstnd once when they start missing it.
ham,Shopping? Eh ger i toking abt syd leh...Haha
ham,What not under standing.
ham,have * good weekend.
ham,Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.
ham,Call me when you get the chance plz &lt;3
ham,The new deus ex game comin early next yr
ham,My computer just fried the only essential part we don't keep spares of because my fucking idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7
ham,"My friend, she's studying at warwick, we've planned to go shopping and to concert tmw, but it may be canceled, havn't seen  for ages, yeah we should get together sometime!"
ham,Probably a couple hours tops
ham,"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!"
ham,Man this bus is so so so slow. I think you're gonna get there before me
ham,Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.
ham,"In case you wake up wondering where I am, I forgot I have to take care of something for grandma today, should be done before the parade"
ham,Ok
spam,"Latest Nokia Mobile or iPOD MP3 Player +ВЈ400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.ВЈ1,50/Mtmsgrcvd18+"
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
ham,Nvm take ur time.
ham,So wat's da decision?
ham,Wot is u up 2 then bitch?
ham,Stupid.its not possible
ham,She told to hr that he want posting in chennai:)because i'm working here:)
spam,Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a
ham,When are you guys leaving?
ham,He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. Гњ got a lot of work ar?
ham,Not able to do anything.
ham,Гњ takin linear algebra today?
ham,This weekend is fine (an excuse not to do too much decorating)
ham,"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*"
ham,Now project pa. After that only i can come.
spam,Money i have won wining number 946 wot do i do next
ham,"Sure, whenever you show the fuck up &gt;:("
ham,That was random saw my old roomate on campus. He graduated
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
ham,"Men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. But the law allows only one wife...."
ham,That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?
ham,"Just got part Nottingham - 3 hrs 63miles. Good thing i love my man so much, but only doing 40mph. Hey ho"
ham,What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not
ham,Hi good mornin.. Thanku wish u d same..
ham,DO U WANT 2 MEET UP 2MORRO
ham,Actually I decided I was too hungry so I haven't left yet :V
ham,I've sent Гј my part..
ham,Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor.
spam,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec ВЈ1.50ea. OTBox 731 LA1 7WS. )"
ham,Understand. his loss is my gain :) so do you work? School?
ham,HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx
ham,"Hiya, probably coming home * weekend after next"
ham,Don't forget though that I love you .... And I walk beside you. Watching over you and keeping your heart warm.
ham,I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.
ham,Ok both our days. So what are you making for dinner tonite? Am I invited?
spam,Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070
ham,I have no money 4 steve mate! !
ham,IM LATE TELLMISS IM ON MY WAY
ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
ham,Normally i use to drink more water daily:)
ham,Dare i ask... Any luck with sorting out the car?
ham,"Party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more"
ham,"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word)."
ham,Hiya. How was last night? I've been naughty and bought myself clothes and very little ... Ready for more shopping tho! What kind of time do you wanna meet?
spam,FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv
ham,I've been trying to reach him without success
ham,when you and derek done with class?
ham,Never y lei... I v lazy... Got wat? Dat day Гј send me da url cant work one...
ham,Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL
ham,Hey mate. Spoke to the mag people. WeвЂre on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later.
ham,Hope you are having a good week. Just checking in
ham,"Haha, my friend tyler literally just asked if you could get him a dubsack"
ham,Hey! do u fancy meetin me at 4 at cha В– hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love Pete x x x
ham,Great. Have a safe trip. Dont panic surrender all.
ham,"SYMPTOMS when U are in love: ""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your"
ham,Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...
ham,Try to do something dear. You read something for exams
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear"
ham,Gettin rdy to ship comp
ham,I am in hospital da. . I will return home in evening
ham,PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS)
ham,Think + da. You wil do.
ham,I'm awake oh. What's up.
ham,Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe
ham,How much u trying to get?
ham,"Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time"
ham,Tell me again what your address is
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
ham,Should i buy him a blackberry bold 2 or torch. Should i buy him new or used. Let me know. Plus are you saying i should buy the  &lt;#&gt; g wifi ipad. And what are you saying about the about the  &lt;#&gt; g?
ham,But you were together so you should be thinkin about him
ham,hiya hows it going in sunny africa? hope u r avin a good time. give that big old silver back a big kiss from me.
ham,At WHAT TIME should i come tomorrow
spam,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd
ham,"CHA QUITEAMUZING THATВ’SCOOL BABE,PROBPOP IN & CU SATTHEN HUNNY 4BREKKIE! LOVE JEN XXX. PSXTRA LRG PORTIONS 4 ME PLEASE "
ham,Omg how did u know what I ate?
spam,URGENT! This is the 2nd attempt to contact U!U have WON ВЈ1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. maxВЈ7. 50
ham,:( but your not here....
ham,Not directly behind... Abt 4 rows behind Гј...
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066
spam,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records"
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
ham,No plans yet. What are you doing ?
ham,Hi ....My engagement has been fixd on  &lt;#&gt; th of next month. I know its really shocking bt....hmm njan vilikkam....t ws al of a sudn;-(.
ham,Not course. Only maths one day one chapter with in one month we can finish.
ham,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-)
spam,"For ur chance to win a ВЈ250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
ham,Noooooooo please. Last thing I need is stress. For once in your life be fair.
spam,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm
spam,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. ВЈ1.50 increments. Help08718728876"
ham,"I'll see if I can swing by in a bit, got some things to take care of here firsg"
ham,I wanted to wish you a Happy New Year and I wanted to talk to you about some legal advice to do with when Gary and I split but in person. I'll make a trip to Ptbo for that. I hope everything is good with you babe and I love ya :)
ham,Have you not finished work yet or something?
